window,slice_type,slice_value,metric,value
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-05,pooled_ic,0.097526
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-05,mean_ic,0.128155
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-05,n_obs,60.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,avg_book_beta,1.032146
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,avg_universe_beta,1.021781
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,mean_selected_fwd21,0.149452
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,mean_universe_fwd21,0.07605
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,edge_vs_universe,0.073402
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,book_hhi,0.5625
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,top_sector_share,0.5625
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,avg_turnover,0.357143
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),selected_book,all,cost_drag_per_rebal,0.000357
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_sector,Capital Goods,cum_contribution,0.503351
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_sector,Health Care,cum_contribution,0.052976
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_sector,Transportation,cum_contribution,0.041482
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_ticker,AAON,cum_contribution,0.503351
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_ticker,ABEO,cum_contribution,0.048371
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_ticker,AAL,cum_contribution,0.041482
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_ticker,ABUS,cum_contribution,0.006486
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),contribution_ticker,ACIU,cum_contribution,-0.00188
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,1,mean_fwd21,0.086076
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,1,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,2,mean_fwd21,0.06013
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,2,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,3,mean_fwd21,0.168222
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,3,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,4,mean_fwd21,0.074413
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,4,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,5,mean_fwd21,-0.019403
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,5,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,6,mean_fwd21,0.041809
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,6,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,7,mean_fwd21,0.11615
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,7,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,8,mean_fwd21,0.031007
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,8,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,9,mean_fwd21,0.052647
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,9,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,10,mean_fwd21,0.149452
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),decile,10,n,16.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),calibration,all,top_minus_bottom_spread,0.063376
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),calibration,all,monotonicity_score,-0.127273
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),calibration,all,bottom_decile_mean,0.086076
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),calibration,all,top_decile_mean,0.149452
